,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
1971,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.007349857622109213
1980,med-high,med-high,low,low,low,med-low,low,low,low,low,low,low,0,0.061210465194283706
1989,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.3883557178116002
1997,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.08032388181929932
2005,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.07591417330925157
2025,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.13157184844186154
2030,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.005154688587189082
2046,high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.00017096434048001626
2054,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.029345634795772627
2063,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0067968093530211895
2066,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.005084433689576999
2073,med-high,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.015077990390607927
2081,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0050684592486824305
2088,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.4174342185592186
2102,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,4.201150896641314e-05
2110,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,6.109547843206199e-05
2120,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.015635537614961056
2130,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.010834387047614373
2146,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.005084433689576999
2153,med-high,high,low,low,low,low,low,low,low,low,med-high,low,0,0.00021635099997338798
2162,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0003047212029751235
2173,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.00036823792444976055
2190,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.01701440642441627
