,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
2659,med-low,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2665,med-low,med-high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2681,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2688,med-high,high,low,low,low,low,low,med-low,low,low,med-low,low,0,0.014148463266574256
2696,med-high,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2705,high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.014148463266574256
2711,low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.014148463266574256
2720,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
2729,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2746,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
2755,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
2765,low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2775,low,med-high,low,low,low,med-low,low,low,low,low,med-low,low,0,0.11822822328338548
2779,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
2785,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.11822822328338548
2794,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2804,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.014148463266574256
2810,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.11822822328338548
2818,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
2826,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
2848,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.9336426914153132
2857,high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.11822822328338548
2864,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
2874,high,med-high,low,low,low,low,low,low,low,med-high,low,low,0,0.11822822328338548
2889,high,med-high,low,low,low,low,low,low,low,med-low,low,med-low,1,0.9336426914153132
2898,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
2907,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
2913,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.32599837000814996
2938,med-high,med-high,low,low,low,med-low,low,low,low,low,med-low,low,0,0.014148463266574256
2956,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
2961,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
2966,low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
2973,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.17674691720493246
2980,med-low,high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
2988,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,1,0.11822822328338548
2993,med-low,med-high,low,low,low,med-low,low,low,low,low,med-low,low,1,0.3495702005730659
3002,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
3016,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
3024,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.3495702005730659
3031,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,med-low,1,0.7490176817288802
3039,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,0,0.11822822328338548
3048,med-high,med-high,low,low,low,med-low,low,low,low,low,med-low,med-low,0,0.11822822328338548
3055,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,med-low,1,0.7490176817288802
3062,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,0,0.11822822328338548
3074,med-high,med-high,low,low,low,med-low,low,low,low,low,med-low,med-low,0,0.32599837000814996
3092,med-high,med-high,low,low,low,med-low,low,low,low,med-low,med-low,low,0,0.11822822328338548
3099,med-high,med-high,low,low,low,low,low,low,low,med-high,med-low,low,0,0.7490176817288802
3106,high,med-high,low,low,low,med-low,low,low,low,med-low,med-low,med-low,0,0.11822822328338548
3113,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
