year,state,county,region,division,total_bldg,total_units,total_value
2000,18,63,2,3,1766,1901,225910104
2000,18,65,2,3,180,209,20130102
2000,18,67,2,3,388,408,54297384
2000,18,69,2,3,153,153,16656362
2000,18,71,2,3,167,203,19357900
2000,18,73,2,3,246,270,22352660
2000,18,75,2,3,65,65,5349082
2000,18,77,2,3,161,169,14184970
2000,18,79,2,3,208,208,16301872
2000,18,81,2,3,1464,1480,203449970
2000,18,83,2,3,54,64,5900503
2000,18,85,2,3,413,433,53389631
2000,18,87,2,3,216,217,16817742
2000,18,89,2,3,1602,1928,248413679
2000,18,91,2,3,424,440,44613578
2000,18,93,2,3,41,41,3216629
2000,18,95,2,3,342,356,43902733
2000,18,97,2,3,4123,5216,614579175
2000,18,99,2,3,240,286,19754114
2000,18,101,2,3,7,7,632000
2000,18,103,2,3,115,115,11358869
2000,18,105,2,3,525,620,73295903
2000,18,107,2,3,116,116,11549131
2000,18,109,2,3,561,583,63742208
2000,18,111,2,3,88,98,8028073
2000,18,113,2,3,228,244,25059606
2000,18,115,2,3,23,23,2152300
2000,18,117,2,3,5,5,326900
2000,18,119,2,3,3,5,397028
2000,18,121,2,3,43,43,3533000
2000,18,123,2,3,53,56,5961447
2000,18,125,2,3,64,73,6203000
2000,18,127,2,3,893,1107,142001664
2000,18,129,2,3,97,97,13286893
2000,18,131,2,3,71,73,7234713
2000,18,133,2,3,39,40,3730515
2000,18,135,2,3,60,60,5380566
2000,18,137,2,3,170,210,15472904
2000,18,139,2,3,76,77,6737400
2000,18,141,2,3,996,1665,162875982
2000,18,143,2,3,134,205,9746720
2000,18,145,2,3,150,161,20103337
2000,18,147,2,3,146,147,12913667
2000,18,149,2,3,111,111,8360486
2000,18,151,2,3,241,275,35050987
2000,18,153,2,3,20,21,1700000
2000,18,155,2,3,122,122,7108468
2000,18,157,2,3,874,1710,140084027
2000,18,159,2,3,53,53,8098764
2000,18,161,2,3,39,39,3878415
2000,18,163,2,3,605,1040,66089294
2000,18,165,2,3,41,41,4494070
2000,18,167,2,3,289,312,34256573
2000,18,169,2,3,88,88,10156571
2000,18,171,2,3,65,67,4470000
2000,18,173,2,3,381,439,58804458
2000,18,175,2,3,35,35,2829655
2000,18,177,2,3,143,146,15123439
2000,18,179,2,3,112,123,15854080
2000,18,181,2,3,130,134,12489618
2000,18,183,2,3,211,212,25640600
2000,24,1,3,5,79,79,8093291
2000,24,3,3,5,2522,3078,329302781
2000,24,5,3,5,2106,2707,270037122
2000,24,9,3,5,911,931,108424959
2000,24,11,3,5,154,154,16386688
2000,24,13,3,5,1362,1459,169730980
2000,24,15,3,5,686,768,74367926
2000,24,17,3,5,1145,1233,146860780
2000,24,19,3,5,109,109,11120636
2000,24,21,3,5,2701,2747,306994804
2000,24,23,3,5,253,253,38741109
2000,24,25,3,5,1551,1702,193126085
2000,24,27,3,5,1663,2182,240336753
2000,24,29,3,5,334,334,34773704
2000,24,31,3,5,3036,4950,505397501
2000,24,33,3,5,3206,3456,335675711
2000,24,35,3,5,419,419,54872365
2000,24,37,3,5,1049,1163,111986740
2000,24,39,3,5,27,27,2331065
2000,24,41,3,5,339,339,47180951
2000,24,43,3,5,575,721,67537210
2000,24,45,3,5,403,480,45042506
2000,24,47,3,5,652,810,92580533
2000,24,510,3,5,222,257,21224179
2000,26,0,2,3,220,220,11708485
2000,26,1,2,3,135,135,13423300
2000,26,3,2,3,91,91,3960248
2000,26,5,2,3,653,689,80524628
2000,26,7,2,3,90,90,8328300
2000,26,9,2,3,308,308,44147228
2000,26,11,2,3,81,81,6341151
2000,26,13,2,3,53,58,4403193
2000,26,15,2,3,322,331,43234711
2000,26,17,2,3,261,274,36905894
2000,26,19,2,3,250,250,27157000
2000,26,21,2,3,489,507,84029976
2000,26,23,2,3,123,123,18129202
2000,26,25,2,3,378,483,47035248
2000,26,27,2,3,318,322,38776638
2000,26,29,2,3,371,371,55297760
2000,26,31,2,3,244,254,27861090
2000,26,33,2,3,199,199,12919617
2000,26,35,2,3,149,160,11878853
2000,26,37,2,3,465,680,77308777
2000,26,39,2,3,100,100,7409921
2000,26,41,2,3,181,237,23536112
2000,26,43,2,3,105,106,9538754
2000,26,45,2,3,533,649,74361062
2000,26,47,2,3,397,492,66494284
2000,26,49,2,3,1821,2324,268677195
2000,26,51,2,3,266,266,28367815
2000,26,53,2,3,46,46,5367600
2000,26,55,2,3,617,979,83748173
2000,26,57,2,3,67,112,9061314
2000,26,59,2,3,273,331,26422012
2000,26,61,2,3,118,122,11268501
2000,26,63,2,3,206,206,24799385
2000,26,65,2,3,754,987,109002793
2000,26,67,2,3,377,424,39513825
2000,26,69,2,3,161,161,19812911
2000,26,71,2,3,50,50,4928987
2000,26,73,2,3,383,1210,61345197
2000,26,75,2,3,702,919,85630200
2000,26,77,2,3,952,1487,181803889
2000,26,79,2,3,131,132,11252061
2000,26,81,2,3,2745,3050,376702136
2000,26,83,2,3,25,25,2704328
2000,26,85,2,3,113,113,3360825
2000,26,87,2,3,566,566,81036850
2000,26,89,2,3,279,329,42004417
2000,26,91,2,3,485,498,55863293
2000,26,93,2,3,1897,2167,269736358
2000,26,95,2,3,30,30,2388000
2000,26,97,2,3,113,114,11730352
2000,26,99,2,3,5204,5963,725963622
2000,26,101,2,3,40,52,4248658
2000,26,103,2,3,240,267,21419107
2000,26,105,2,3,146,191,15848183
2000,26,107,2,3,263,263,17925900
2000,26,109,2,3,138,138,10880478
2000,26,111,2,3,252,299,32983558
2000,26,113,2,3,88,93,9570011
2000,26,115,2,3,784,1202,115784600
2000,26,117,2,3,249,272,20946534
2000,26,119,2,3,99,99,10062540
2000,26,121,2,3,815,836,103754732
2000,26,123,2,3,210,210,18390061
2000,26,125,2,3,4777,5459,929500170
2000,26,127,2,3,132,153,15593570
2000,26,129,2,3,135,135,7413413
2000,26,131,2,3,18,18,1199575
2000,26,133,2,3,204,204,15984561
2000,26,135,2,3,92,92,7375491
2000,26,137,2,3,304,317,39229916
2000,26,139,2,3,1592,2039,239684406
2000,26,141,2,3,134,134,12948359
2000,26,143,2,3,373,373,26559037
2000,26,145,2,3,663,972,86070069
2000,26,147,2,3,959,1076,117948980
2000,26,149,2,3,236,240,26149732
2000,26,151,2,3,226,226,15246863
2000,26,153,2,3,59,59,2853876
2000,26,155,2,3,284,342,30890195
2000,26,157,2,3,170,172,15383895
2000,26,159,2,3,417,447,38468163
2000,26,161,2,3,1875,1980,319642003
2000,26,163,2,3,3111,4082,529121184
2000,26,165,2,3,168,226,19586859
2000,37,1,3,5,886,945,101108104
2000,37,3,3,5,161,166,29875190
2000,37,5,3,5,151,151,14815403
2000,37,7,3,5,31,31,3370572
2000,37,9,3,5,239,239,29162145
2000,37,11,3,5,144,148,40536804
2000,37,13,3,5,190,190,30608150
2000,37,15,3,5,28,28,1093172
2000,37,17,3,5,63,63,7581946
2000,37,19,3,5,1354,1449,161460915
2000,37,21,3,5,1046,1327,158996806
2000,37,23,3,5,299,302,34532405
2000,37,25,3,5,1481,1724,156062272
2000,37,27,3,5,401,442,51410055
2000,37,29,3,5,63,63,7514715
2000,37,31,3,5,449,459,72741606
2000,37,33,3,5,89,89,10250100
2000,37,35,3,5,1174,1280,152036044
2000,37,37,3,5,418,418,83819809
2000,37,39,3,5,271,271,23102300
2000,37,41,3,5,42,42,5355836
2000,37,43,3,5,151,151,18487580
2000,37,45,3,5,359,370,42345615
2000,37,47,3,5,96,99,9483011
2000,37,49,3,5,455,490,52807879
2000,37,51,3,5,868,1544,104663861
2000,37,53,3,5,338,340,67464362
2000,37,55,3,5,901,920,182289228
2000,37,57,3,5,786,893,88062987
2000,37,59,3,5,328,328,45564059
2000,37,61,3,5,127,167,14690390
2000,37,63,3,5,1650,2863,296013635
2000,37,65,3,5,95,95,7486210
2000,37,67,3,5,2223,2875,285217118
2000,37,69,3,5,373,374,42630743
2000,37,71,3,5,1093,1213,118554885
2000,37,73,3,5,18,18,3382386
2000,37,75,3,5,58,58,4488501
2000,37,77,3,5,397,414,46817706
2000,37,79,3,5,31,31,5843790
2000,37,81,3,5,3108,3529,373766394
2000,37,83,3,5,94,94,10514844
2000,37,85,3,5,632,692,49280984
2000,37,87,3,5,393,393,54792414
2000,37,89,3,5,680,720,120850990
2000,37,91,3,5,28,31,2316900
2000,37,93,3,5,261,261,27950064
2000,37,95,3,5,20,20,2208720
2000,37,97,3,5,1381,1830,235947422
2000,37,99,3,5,446,745,92495060
2000,37,101,3,5,1256,1635,142852646
2000,37,103,3,5,5,5,545030
2000,37,105,3,5,231,231,24995832
2000,37,107,3,5,200,242,21731305
2000,37,109,3,5,698,833,88507520
2000,37,111,3,5,126,132,13585847
2000,37,113,3,5,359,359,69832506
2000,37,115,3,5,143,143,15666649
2000,37,117,3,5,50,50,5691432
2000,37,119,3,5,8977,13960,1402701835
2000,37,121,3,5,70,70,7530421
2000,37,123,3,5,102,102,18842780
2000,37,125,3,5,607,672,105806000
2000,37,127,3,5,559,695,52839863
2000,37,129,3,5,1444,1860,207884861
2000,37,131,3,5,45,45,4767098
2000,37,133,3,5,665,915,67460867
2000,37,135,3,5,1041,1070,169134686
2000,37,137,3,5,56,56,9191140
2000,37,139,3,5,108,108,9806922
2000,37,141,3,5,302,348,53954610
2000,37,143,3,5,63,63,11908834
2000,37,145,3,5,174,180,31209000
2000,37,147,3,5,849,1766,123845676
2000,37,149,3,5,121,121,15001536
